month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,146267,MALIYAKKAL FILLING STATION,VENGARA,BPC,,,177,319,160,244
2025-08,215812,MOOKKAMPARAMBATH AUTO FUELS (2020-21),VALLIKUNNU,BPC,,,108,60,108,60
2025-08,116140,KEYTEES PETROLEUM,Valanchery,BPC,,,100,104,64,80
2025-08,230305,CITY PETROLEUM,VAILATHUR,BPC,,,96,96,82,86
2025-08,146264,MIYAN PETROLEUM,THIRUNAVAYA,BPC,,,64,68,64,56
2025-08,162956,BP-THALAPPARA,THALAPPARA,BPC,,,180.225,160.278,192.668,201.623
2025-08,149639,P M PETROLEUM,TANUR,BPC,,,76,68,80,76
2025-08,189806,AYISHA PETROLEUM,PONNANI(ON SH62),BPC,,,117,77,100,56
2025-08,143244,PARAPPANAD PETROLEUM,PARAPPANANGADI,BPC,,,52,68,52,80
2025-08,233926,ROYAL FUELS,PALLIKKAL BAZAR,BPC,,,92,96,80,76
2025-08,219106,MOROOTTIL FUELS (NRO 2020-21),MORAYUR,BPC,,,125,227,109,199
2025-08,162537,CHAITHRAM FUELS,KUTTIPURAM (ON NH),BPC,,,36,48,28,56
2025-08,147927,ITHIKKAL PETROLEUM,KOTTAKKAL (ON SH),BPC,,,223,283,200,232
2025-08,146933,RISHA PETROLEUM,KALPAKANCHERI,BPC,,,144,144,132,132
2025-08,116141,VENGARA PETROLEUM AGENCY,KAKKAD,BPC,,,130,130,172,172
2025-08,172015,ANUS FUEL AGENCY,KADAMPUZHA,BPC,,,97,107,89,103
2025-08,180272,P.N.M.FUELS,Eramangalam,BPC,,,112,80,116,88
2025-08,116136,M.KUTTY HASSAN KUTTY & CO.,Edappal (on SH),BPC,,,72,84,68,88
2025-08,168865,THANKOM PETRO PARK,CHETTIPADI TO CHELARI,BPC,,,68,40,84,48
2025-08,146265,MALIYAKKAL FUELS,CHEMMAD,BPC,,,92,100,124,104
2025-08,254121,KOHINOOR PETROLEUM,CHELARI,BPC,,,0,0,0,0
2025-08,182026,FIDHA PETROLEUM,B.P ANGADI,BPC,,,108,72,124,104
2025-08,184424,HAJI MUHAMMED ALI SONS,AILATHUR,BPC,,,112,68,124,92
2025-08,258634,ALOHA PETROLEUM,KONDOTTY,BPC,,,0,0,0,0
2025-08,258702,GREENWAY FUELS,KURUMBATHUR,BPC,,,0,0,0,0
2025-08,259357,ROYAL AUTO FUELS,OTHUKKUNGAL (ON SH),BPC,,,0,0,0,0
2025-08,41070555,VISTA FUELS,VETTICHIRA,HPCL,,,0,0,0,0
2025-08,41028327,VENGARA FUELS,VENGARA-POOCHOLAMAD ROAD,HPCL,,,52,48,52,44
2025-08,41006140,KUNDUPUZHAKKAL FUELS,VENGARA,HPCL,,,118,218,90,146
2025-08,41072566,NMS PETROLEUM,VATTATHANI,HPCL,,,84,80,0,0
2025-08,41028341,PRIMO PETROLEUM,VALLIKUNNU,HPCL,,,95,75,84,56
2025-08,41074059,MALABAR PETROLEUM,VALIYAPARAMBU,HPCL,,,57,69,0,0
2025-08,41026048, P ACHUTHAN NAIR & CO-VA,VALANCHERY-KOPPAM ROAD,HPCL,,,60,108,56,100
2025-08,41072515,MATSYAFED FUELS,VAKKAD,HPCL,,,100,68,4,8
2025-08,41002036, J&M PETROLEUM,VAILATHUR,HPCL,,,62,44,64,56
2025-08,41027813,  JAMEELA PETROLEU5,TIRUR(ON SH71),HPCL,,,76,116,92,124
2025-08,41072571,VORTEX FUELS,TIRUR (ON EZHUR ROAD),HPCL,,,85,55,0,0
2025-08,41030288, RAHINA PETROLEU5,TIRUR,HPCL,,,92,76,120,96
2025-08,41028685,MSHSD CHANGAMPALLY FUELS,THIRUNAVAYA,HPCL,,,69,57,72,52
2025-08,41028384,THEYYALINGAL PETROLEUM,THEYYALA,HPCL,,,88,68,109.5,82.5
2025-08,41011423,VALLIYAMMU PETROLEUM,THAVANUR,HPCL,,,149,197,119,135
2025-08,41009099, CP HASSAINAR HAJI SON,TANUR,HPCL,,,12,12,19,31
2025-08,41011494, HIGHWAY FUELS,RANDATHANI,HPCL,,,76,92,52,68
2025-08,41002044, THEYYAMPATTIL PETROLEUM,PUTHANATHANI,HPCL,,,54,63,40,56
2025-08,41069662,ADHOC KAMMUS FUELS/ADHOC KALATHINGAL PETROLEUM,PULIKKAL,HPCL,,,90,105,95,95
2025-08,41006132," ESS VEE AGENCIES, VELIY",PONNANI (ON NH66),HPCL,,,49,37,44,64
2025-08,41025523,7 MANI AND CO,Ponnani,HPCL,,,0,36,0,86
2025-08,41000173,7 MANI AND CO MS RESITEMENT,Ponnani,HPCL,,,74,0,70,0
2025-08,41011374,HSD MATSYAFED DIESEL BUNK PONNANI,Ponnani,HPCL,,,0,36,0,36
2025-08,41028728, WEST COAST PETROLEUM AG,PARAPPANANGADI,HPCL,,,21,49,20,52
2025-08,41030464,TKB PETROLEUM,PARAMBIL PEEDIKA,HPCL,,,79,71,80,64
2025-08,41028674,M P T Petroleum ,PALLIKKAL BAZAR,HPCL,,,72,95,62,70
2025-08,41030460,OTHUKUNGAL FUELS,OTHUKKUNGAL (ON SH),HPCL,,,125,155,112,128
2025-08,41011412,DAKOTA FILL & FLY,Naduvattom Karinkalathani Road,HPCL,,,79,62,76,48
2025-08,41070271,VOYAGE FUELS,KUTTIPURAM (ON NH),HPCL,,,49,63,0,0
2025-08,41028463, BALAN AND MOHAN,Kuttippuram,HPCL,,,80,88,92,100
2025-08,41011151,MSHSD RAINBOW PETROLEUM,KURUMBATHUR,HPCL,,,109,82,114,94
2025-08,41012307, KUNNUMPURAM PETROLEUM,KUNNUMPURAM,HPCL,,,85,125,72,96
2025-08,41028450, P ACHUTHAN NAIR & CO-KO,KOTTAKKAL (ON NH),HPCL,,,67,171,60,172
2025-08,41030308,5 7 PUTHIYAVEETIL AGENCIES,KONDOTTY,HPCL,,,0,0,0,0
2025-08,41029341, CP MOHAMED KUTTY,KONDOTTY,HPCL,,,89,145,91,141
2025-08,41002023, SEEPEACE FUELS,KONDOTTY,HPCL,,,130,210,120,160
2025-08,41012511, KOLAPPURAM PETROLEUM AG,KOLAPPURAM,HPCL,,,184,224,113,119
2025-08,41005475,PAZHERI FUELS,KALOTH,HPCL,,,57,53,60,60
2025-08,41002047, P K AUTO FUELS,KAKKANCHERY,HPCL,,,73,49,75,65
2025-08,41028388,PC PETROLEUM,KAKKANCHERY,HPCL,,,50,85,68,76
