month,outlet_id,name,trading_area,company,class_of_market,lat,lng,ms,hsd,ms_ly,hsd_ly,,,,
2026-06,258634,ALOHA PETROLEUM,KONDOTTY,BPC,C,11.1590386,75.9473434,72,60,0,0,,,,
2026-06,172015,ANUS FUEL AGENCY,KADAMPUZHA,BPC,E,10.93927,76.03884,110,126,87,97,,,,
2026-06,189806,AYISHA PETROLEUM,PONNANI(ON SH62),BPC,D2,10.780234,75.9488313,105,95,100,68,,,,
2026-06,162956,BP-THALAPPARA,THALAPPARA,BPC,D1,11.0741104,75.9036425,168,133,219,214,,,,
2026-06,162537,CHAITHRAM FUELS,KUTTIPURAM (ON NH),BPC,D1,10.8576887,76.0365593,20,16,28,32,,,,
2026-06,230305,CITY PETROLEUM,VAILATHUR,BPC,D2,10.9703104,75.9658111,125,141,76,80,,,,
2026-06,182026,FIDHA PETROLEUM,B.P ANGADI,BPC,C,10.9037746,75.9219113,104,64,112,80,,,,
2026-06,258702,GREENWAY FUELS,KURUMBATHUR,BPC,E,,,0,0,0,0,,,,
2026-06,184424,HAJI MUHAMMED ALI SONS,AILATHUR,BPC,E,10.8715946,75.9338532,104,64,120,72,,,,
2026-06,262369,IB AUTO FUELS,Edappal (on SH),BPC,D2,,,0,0,0,0,,,,
2026-06,147927,ITHIKKAL PETROLEUM,KOTTAKKAL (ON SH),BPC,D2,10.9999633,75.9965663,233,285,203,237,,,,
2026-06,262908,KAPADAN FUELS,KONDOTTY,BPC,D1,11.1590926,75.9473427,0,0,0,0,,,,
2026-06,258666,KAPPADAN FUELS,EDAVANNAPPARA,BPC,E,11.220756,75.970234,96,96,0,0,,,,
2026-06,116140,KEYTEES PETROLEUM,Valanchery,BPC,D1,10.8867754,76.0728141,100,116,76,80,,,,
2026-06,254121,KOHINOOR PETROLEUM,CHELARI,BPC,D1,11.119522,75.8931872,87,111,0,0,,,,
2026-06,116136,M.KUTTY HASSAN KUTTY & CO.,Edappal (on SH),BPC,D2,10.7834019,76.0078356,36,72,60,72,,,,
2026-06,146267,MALIYAKKAL FILLING STATION,VENGARA,BPC,D2,11.0512894,75.9845704,180,250,166,264,,,,
2026-06,146265,MALIYAKKAL FUELS,CHEMMAD,BPC,E,11.0466849,75.9110172,96,84,96,96,,,,
2026-06,146264,MIYAN PETROLEUM,THIRUNAVAYA,BPC,E,10.86345,75.97881,64,68,56,52,,,,
2026-06,215812,MOOKKAMPARAMBATH AUTO FUELS,VALLIKUNNU,BPC,E,11.12183,75.84632,92,88,100,56,,,,
2026-06,219106,MOROOTTIL FUELS,MORAYUR,BPC,D1,11.13336,76.01423,114,238,117,223,,,,
2026-06,149639,P M PETROLEUM,TANUR,BPC,C,10.96751,75.88492,68,64,64,68,,,,
2026-06,180272,P.N.M.FUELS,Eramangalam,BPC,D2,10.70267,75.98235,116,76,100,68,,,,
